year,period,ff4_hf,sp500_hf,gs1,logsp500,us_rgdp,us_gdpdef,ebpnew
1984,2,0,0,10.04,505.73,885.14,400.44,-0.0442
1984,3,0,0,10.59,505.91,885.53,400.73,0.0572
1984,4,0,0,10.9,506.02,885.58,401.03,0.1179
1984,5,0,0,11.66,505.19,887.27,401.18,-0.2483
1984,6,0,0,12.08,503.13,887,401.39,-0.0251
1984,7,0,0,12.03,501.86,886.41,401.75,-0.1016
1984,8,0,0,11.82,510.27,888.94,402.05,0.1911
1984,9,0,0,11.58,511.28,887.32,402.22,-0.0246
1984,10,0,0,10.9,510.48,888,402.44,-0.2017
1984,11,0,0,9.82,511.31,887.99,402.64,-0.0935
1984,12,0,0,9.33,510.34,888.94,402.95,-0.0563
1985,1,0,0,9.02,514.41,888.27,403.44,-0.0805
1985,2,NaN,NaN,9.29,519.81,889.99,403.85,-0.1209
1985,3,NaN,NaN,9.86,518.97,889.65,404.17,0.0888
1985,4,NaN,NaN,9.14,519.6,890.08,404.26,-0.0584
1985,5,NaN,NaN,8.46,522.06,890.23,404.43,-0.2187
1985,6,NaN,NaN,7.8,524.11,890.28,404.62,0.1447
1985,7,NaN,NaN,7.86,526.01,891.54,404.8,0.1125
1985,8,NaN,NaN,8.05,523.81,892.58,405.04,0.1047
1985,9,NaN,NaN,8.07,521.64,891.13,405.2,0.2097
1985,10,NaN,NaN,8.01,522.67,892.7,405.38,0.2617
1985,11,NaN,NaN,7.88,528.67,892.51,405.59,0.2533
1985,12,NaN,NaN,7.67,533.39,892.18,405.8,0.0324
1986,1,NaN,NaN,7.73,533.91,892.65,406.05,0.2707
1986,2,NaN,NaN,7.61,539.08,893.89,406.1,-0.1864
1986,3,NaN,NaN,7.03,544.95,893.56,406.1,0.5841
1986,4,NaN,NaN,6.44,547.22,893.99,406.2,0.5406
1986,5,NaN,NaN,6.65,547.49,893.51,406.47,0.0328
1986,6,NaN,NaN,6.73,550.25,893.93,406.76,0.0739
1986,7,NaN,NaN,6.27,548.35,894.65,406.74,0.6926
1986,8,NaN,NaN,5.93,550.12,894.7,406.83,0.6565
1986,9,NaN,NaN,5.77,547.62,895.09,407.07,0.2989
1986,10,NaN,NaN,5.72,546.96,895.83,407.27,0.511
1986,11,NaN,NaN,5.8,550.24,894.78,407.45,0.6072
1986,12,NaN,NaN,5.87,551.55,895.36,407.59,0.6289
1987,1,NaN,NaN,5.78,557.4,894.84,407.92,0.4785
1987,2,NaN,NaN,5.96,563.79,896.36,408.18,0.5248
1987,3,NaN,NaN,6.03,567.84,896.88,408.38,0.3891
1987,4,NaN,NaN,6.5,566.72,897.08,408.62,-0.3449
1987,5,NaN,NaN,7,566.57,897.2,408.8,0.1571
1987,6,NaN,NaN,6.8,570.83,897.2,409.06,0.1224
1987,7,NaN,NaN,6.68,573.61,897.56,409.25,0.2483
1987,8,NaN,NaN,7.03,579.71,897.74,409.56,0.2445
1987,9,NaN,NaN,7.67,576.38,898.86,409.85,0.2593
1987,10,NaN,NaN,7.59,563.54,899.14,410.15,-0.8287
1987,11,NaN,NaN,6.96,550.11,899.54,410.38,0.1486
1987,12,NaN,NaN,7.17,548.66,900.38,410.59,-0.1002
1988,1,NaN,NaN,6.99,552.27,899.55,410.94,-0.3151
1988,2,NaN,NaN,6.64,555.34,899.92,411.12,0.1068
1988,3,NaN,NaN,6.71,558.26,901.19,411.42,-0.1543
1988,4,NaN,NaN,7.01,557,901.08,411.79,-0.0708
1988,5,NaN,NaN,7.4,554.52,901.57,412.08,-0.0075
1988,6,NaN,NaN,7.49,560.09,901.94,412.49,0.0712
1988,7,NaN,NaN,7.75,559.54,901.6,412.96,-0.229
1988,8,NaN,NaN,8.17,557.49,902.31,413.27,-0.0413
1988,9,NaN,NaN,8.09,559.03,902.36,413.64,0.1409
1988,10,NaN,NaN,8.11,562.54,902.58,413.85,0.2668
1988,11,NaN,NaN,8.48,560.19,903.02,414.06,0.1129
1988,12,NaN,NaN,8.99,562.25,904.43,414.37,0.2394
1989,1,NaN,NaN,9.05,565.27,904.84,414.86,0.204
1989,2,NaN,NaN,9.25,568.41,904.17,415.19,0.11
1989,3,NaN,NaN,9.57,567.86,904.01,415.49,0.3696
1989,4,NaN,NaN,9.36,571.13,904.79,415.93,0.4757
1989,5,NaN,NaN,8.98,575.02,904.87,416.23,0.2838
1989,6,NaN,NaN,8.44,577.99,905.61,416.47,0.5021
1989,7,NaN,NaN,7.89,580.31,905.86,416.77,0.749
1989,8,NaN,NaN,8.18,584.82,905.76,416.9,0.4262
1989,9,NaN,NaN,8.22,585.12,905.77,417.12,0.4869
1989,10,NaN,NaN,7.99,585.05,905.72,417.43,0.5165
1989,11,NaN,NaN,7.77,582.98,906.09,417.61,0.7014
1989,12,NaN,NaN,7.72,585.37,906.04,417.84,0.5686
1990,1,NaN,NaN,7.92,583.06,906.31,418.35,0.2929
1990,2,-0.02,-0.16664,8.11,580.08,907.29,418.72,0.4263
1990,3,-0.02,-0.17281,8.35,582.44,907.51,419.1,0.4593
1990,4,0,0,8.4,582.44,907.41,419.44,0.0782
1990,5,0,0.0369,8.32,585.92,907.66,419.72,0.096
1990,6,0,0,8.1,588.72,907.17,420.09,0.2115
1990,7,-0.1,0.01864,7.94,588.62,907.87,420.26,0.173
1990,8,0,0.29184,7.78,580.14,907.11,420.66,-0.1038
1990,9,0,0,7.76,575.5,907.35,420.99,0.0924
1990,10,-0.02999,-0.64155,7.55,572.73,906.59,421.24,0.3151
1990,11,0.01,-0.00941,7.31,575.36,906.91,421.35,0.4038
1990,12,-0.19,0.85309,7.05,579.55,906.08,421.59,0.389
1991,1,-0.1,0.51814,6.64,578.6,906.01,422.15,0.4254
1991,2,-0.21,-0.40345,6.27,589.33,906.27,422.42,0.3534
1991,3,-0.06,0.53704,6.4,592,905.69,422.58,0.2801
1991,4,-0.19,0.94203,6.24,593.93,907.1,422.76,0.2264
1991,5,-0.02,-0.23957,6.13,593.48,906.3,423.11,0.2213
1991,6,0,0,6.36,593.57,906.75,423.33,0.1208
1991,7,0.01,-0.02932,6.31,594,906.97,423.55,0.2402
1991,8,-0.08,0.61637,5.78,596.46,906.9,423.79,0.1588
1991,9,0,-0.04647,5.57,596,907.76,424.06,0.1729
1991,10,-0.04,-0.02066,5.33,595.81,907.41,424.19,0.1769
1991,11,-0.12,0,4.89,595.45,907.7,424.33,0.2033
1991,12,-0.25,0.01848,4.38,596.36,907.73,424.49,0.2154
1992,1,0,0,4.15,603.1,908.1,424.57,0.0859
1992,2,0,0.03623,4.29,602.24,908.87,424.76,0.1338
1992,3,0,0,4.63,600.97,909.51,424.98,0.0768
1992,4,-0.2,0.66953,4.3,601.08,909.67,425.25,0.0737
1992,5,0.00999,-0.06721,4.19,602.78,909.35,425.4,0.0232
1992,6,0,0,4.17,601.2,910.81,425.55,0.0142
1992,7,-0.3,0.0557,3.6,602.81,910.93,425.75,-0.0603
1992,8,0.01,0.02617,3.47,603.53,910.79,425.86,0.1166
1992,9,0.01,-0.0024,3.18,603.65,911.06,426.03,0.2231
1992,10,0.01,-0.18129,3.3,602.23,911.55,426.35,0.1418
1992,11,0,0.27846,3.68,604.77,911.88,426.56,0.1046
1992,12,-0.01,-0.10212,3.71,607.72,912.31,426.74,0.1479
1993,1,0,0,3.5,607.59,911.97,426.96,0.114
1993,2,-0.02,-0.06245,3.39,609.1,912.28,427.11,0.0837
1993,3,0,-0.09324,3.33,610.96,912.01,427.29,0.0664
